artDate,year,intern_id,content
107年7月8日,107,18,7月開始是大四實習的第一個月，這個禮拜帶了兩個新人去公司上課，希望他們能順利通過考試。除了帶新人上課以外，每天也都約了客戶，閒暇的時間也有去南港展覽館開發，每次都給自己目標，沒有達成目標不回家，以往的工作都是時間取向，在這邊我更喜歡目標取向，這能讓我更愛上班。
107年7月15日,107,18,7月開始是大四實習的第一個月，也帶了新人去上課，每天都約了客戶，閒暇的時間也有去內湖開發，內科也有富邦的通訊處，在那邊也遇到在別的單位工作的班上同學，遇到同學互相勉勵，讓我的一整天又充滿了力氣~希望同學也順順利利的在這邊面對挑戰。
107年7月22日,107,18,7月開始是大四實習的第一個月，一樣每天都有行程，開發與見客戶。有客戶被抽到抽樣體檢，我帶著客戶到台安醫院體檢，因為客戶11月要去澳洲打工旅遊，所以請我幫她規畫醫療險，很開心客戶有好觀念，並且願意信任我。假日跟主管同事一起去新莊看球，沒想到因為遇到大雨停賽了，非常可惜。
107年7月29日,107,18,7月開始是大四實習的第一個月，這週帶了新人上課，開發與見客戶。禮拜一到北投的消防局拜訪客戶，是在大安填問卷認識到的消防隊員。禮拜二老師來看我，好開心我的實習老師是淑滿老師，沒有教過我卻讓我感到如此親切與充滿熱忱~禮拜三客戶出車禍住院，去探望他，順便陪客戶去體檢。禮拜四跟客戶約了吃飯，禮拜五帶阿公去林口看醫生，是充實的一週。
107年8月5日,107,18,8月開始是大四實習的第二個月，八月的第一週，一樣是見客戶與開發，然後跟媽媽去日本玩，謝謝我的工作讓我能跟媽媽去玩那麼多天，跟主管說後，主管要我玩得開心，要努力工作也要努力玩，在日本玩了5天，日本真的好熱啊，我覺得比台灣還熱。
107年8月11日,107,18,8月開始是大四實習的第二個月，八月的第二週，禮拜四是團隊固定的打電話時間，其他時間都在見客戶，這週平均一天三訪，假日也有約客戶，其中一天陪阿公去林口看房子，因為治療需要在林口住一個月，但醫院沒有住院病房，只好租房子。
107年8月12日,107,18,8月開始是大四實習的第二個月，八月的第三週，去公司上了外幣考衝班，一樣見客戶，零碎時間填問卷，順便去佳德鳳梨酥排隊買給客戶，但我覺得我家麵包店做得比較好哈哈，禮拜四阿姨生日跟表弟表妹一起幫阿姨慶生，阿姨都很支持我，覺得很感動~
107年8月19日,107,18,8月開始是大四實習的第二個月，八月的第四週，去考了外幣證照，現在美金的確是大家可以看中長期規劃的幣別，有了證照才能幫朋友的媽媽規劃~其他時間都在見客戶，有第一次見面的，也有見很多次面的，禮拜五開完會後回家，去客戶的生日派對，他介紹了我他的朋友，是夜店的股東，謝謝客戶願意信任我介紹朋友給我認識。
107年8月26日,107,18,8月開始是大四實習的第二個月，八月的第五週，國小最好的朋友要出國，他媽媽請我幫他們家人規劃旅平險，謝謝阿姨願意信任我給年輕人機會，因為朋友舅舅也是從事這行業~其他天每天固定都有兩訪，也是充實的一週，但我覺得我會變胖，每天都吃吃喝喝~
107年9月2日,107,18,9月開始是大四實習的第三個月，九月的第一週， 之前旅行社的同事生日，偷偷到LADYM買了蛋糕，到雄獅給她驚喜，他自己身邊也有富邦的業務，但卻願意介紹朋友給我認識，好感動~這禮拜談了兩個想了解長照的客戶，很感動我的客戶都那麼有觀念~
107年9月9日,107,18,9月開始是大四實習的第三個月，九月的第二週，主管跟同事出國了，去澳門玩
107年9月9日,107,18,，媽媽因為不放心又不能跟所以不讓我去哈哈，我就留在公司帶新人，帶著新人填問卷還有打電話。這週還去了消防員的阿嬤家，跟阿嬤講解長照，謝謝客戶的家人願意給我機會，我覺得年輕人真的很需要機會~
107年9月16日,107,18,9月開始是大四實習的第三個月，九月的第三週，老師又來看我了~每次看到老師都很開心，老師真的是我遇過最溫柔的老師了，而且好認真每次都在時間內來看我們~禮拜四見完客戶發現離媽媽公司非常近，就買了飲料去媽媽公司探班，因為跟他同事一起出國過，所以大家都很歡迎我，特地買了網美店的飲料請他們喝。
107年9月16日,107,18,9月開始是大四實習的第三個月，九月的第四週，這禮拜四期待了好久，終於可以去聽陳憲修的演講，他才25歲，是富邦最年輕的處經理，聽他的很多想法，真的讓我們台下的聽眾都好佩服~這週也幫客戶處理了強制險及旅平險，希望客戶出去玩能開開心心。
107年9月16日,107,18,10月開始是大四實習的第四個月，十月的第一週，這禮拜談的客戶是實習醫師，想幫自己規劃基本的醫療險，有時候希望自己能更有能力，把更多的好觀念給客戶，希望客戶得到最好的保障。這禮拜四是返校日，看到好久不見的同學真的很開心~這禮拜也是對我很重要的一天，我的個人分享，謝謝前輩給我的回饋以及好評，我會更努力的~
